LocationID|DisasterNo|Location|Latitude|Longitude
88|1932-0020-GRC|Kolpos Ierissou, Greece|40.4218945|23.8941657
89|1933-0027-ITA|Italy|41.87194|12.56738
90|1934-0006-ROU|Oradea, Romania|47.04650050000001|21.9189438
91|1934-0006-ROU|Brașov, Romania|45.6426802|25.5887252
92|1934-0006-ROU|Craiova, Romania|44.3301785|23.7948808
93|1934-0006-ROU|Iași 507184, Romania|45.7644149|24.930825
94|1934-0006-ROU|Galați, Romania|45.4353208|28.0079945
95|1934-0006-ROU|Bucharest, Romania|44.4267674|26.1025384
96|1934-0006-ROU|Ploiești, Romania|44.936664|26.0128616
97|1934-0006-ROU|Timișoara, Romania|45.7488716|21.2086793
98|1934-0006-ROU|Constanța, Romania|44.1759147|28.6519359
99|1934-0006-ROU|Cluj-Napoca, Romania|46.7712101|23.6236353
100|1936-0001-NOR|Loen, Norway|61.8710579|6.848017599999999
101|1939-0018-ITA|Soverato Marina, 88068 Soverato, Province of Catanzaro, Italy|38.687333|16.5500558
102|1940-0001-ROU|Bucharest, Romania|44.4267674|26.1025384
103|1941-0036-ESP|20750 Zumaia, Gipuzkoa, Spain|43.2988236|-2.256885
104|1941-0036-PRT|Paços de Ferreira, 4590, Portugal|41.2737963|-8.377311599999999
105|1941-0036-PRT|Campolide, Lisbon, Portugal|38.7265929|-9.1651993
106|1941-0036-PRT|2630 Arruda dos Vinhos, Portugal|38.9835516|-9.0774591
107|1941-0036-PRT|2540 Bombarral, Portugal|39.2680991|-9.158511299999999
108|1941-0036-PRT|2405 Maceira, Portugal|39.685696|-8.8841275
109|1941-0036-PRT|Sintra, Portugal|38.8029127|-9.3816495
110|1941-0036-PRT|Vendas Novas, Portugal|38.6540819|-8.550128299999999
111|1941-0036-PRT|Cabo Ruivo, 1990-071 Lisboa, Portugal|38.7588465|-9.0945976
112|1941-0036-PRT|2665 Malveira, Portugal|38.9306503|-9.259759899999999
113|1941-0036-PRT|4500 Espinho, Portugal|41.0071914|-8.641033199999999
114|1942-0042-ALB|Peshkopi, Albania|41.684866|20.4291879
115|1943-0052-YUG|Bosnia and Herzegovina|43.915886|17.679076
116|1944-0044-ITA|Naples, Metropolitan City of Naples, Italy|40.8517983|14.26812
117|1945-0009-BEL|Brussels, Belgium|50.8476424|4.3571696
118|1945-0009-BEL|Brussels, Belgium|50.8260453|4.3802052
119|1946-0022-AZO|9700 Angra do Heroísmo, Portugal|38.6635375|-27.2293969
120|1946-0022-AZO|Ponta Delgada, Portugal|37.7394207|-25.6686725
121|1946-0022-AZO|Horta, Portugal|38.5348447|-28.6299812
122|1946-0023-SUN|Turkmenistan|38.969719|59.556278
123|1947-0028-GRC|Messenia, Greece|37.1424653|21.9522491
124|1947-0028-GRC|Pylaia 685 00, Greece|40.9263923|26.1165272
125|1948-0011-SUN|Ashgabat, Turkmenistan|37.9600766|58.32606289999999
126|1948-0032-GRC|Vasiliki, Greece|38.6287203|20.6090484
127|1949-0001-SUN|Tajikistan|38.861034|71.276093
128|1949-0008-SUN|Tajikistan|38.861034|71.276093
129|1949-0027-FRA|Landes, France|43.9412045|-0.7532808999999999
130|1951-0020-ITA|Po Valley, 46018 Sabbioneta, Province of Mantua, Italy|45.0|10.5
131|1951-0020-ITA|Province of Rovigo, Italy|45.0241818|11.8238162
132|1951-0042-ITA|Reggio Calabria, Metropolitan City of Reggio Calabria, Italy|38.1113006|15.6472914
133|1952-0005-GBR|Lynmouth, UK|51.2295747|-3.8291697
134|1952-0012-GBR|London, UK|51.5072178|-0.1275862
135|1952-0036-SUN|Kamchatka Peninsula, Kamchatka Krai, Russia, 684405|56.1327377|159.5314398
136|1953-0001-GRC|Zakynthos, Greece|37.7870331|20.8998759
137|1953-0001-GRC|Cephalonia, Greece|38.1753675|20.5692179
138|1953-0007-NLD|Noord-Beveland, Netherlands|51.5702826|3.7714839
139|1953-0007-NLD|Zeeland, Netherlands|51.69719809999999|5.6733091
140|1953-0007-NLD|Goeree-Overflakkee, Netherlands|51.7591966|4.1169809
141|1953-0007-NLD|IJsselmonde, 2992 Barendrecht, Netherlands|51.8666667|4.5166667
142|1953-0007-NLD|3195 Pernis, Netherlands|51.8887319|4.3890747
143|1953-0007-NLD|Willemstad, Netherlands|51.6919469|4.4379073
144|1953-0015-DFR|Bavaria, Germany|48.7904472|11.4978895
145|1953-0025-BEL|Ostend, Belgium|51.2246631|2.9091818
146|1953-0056-ITA|Reggio Calabria, Metropolitan City of Reggio Calabria, Italy|38.1113006|15.6472914
147|1953-0056-ITA|88100 Catanzaro, Province of Catanzaro, Italy|38.90979189999999|16.5876516
148|1954-0003-AUT|Dalaas, Austria|47.1230292|9.996223100000002
149|1954-0004-AUT|Blons, Austria|47.22324|9.83634
150|1954-0004-AUT|6932 Langen bei Bregenz, Austria|47.5086191|9.828040699999999
151|1954-0044-GRC|Karditsa 431 00, Greece|39.3640258|21.9214049
152|1954-0058-ITA|Salerno, SA, Italy|40.68244079999999|14.7680961
153|1954-0073-GRC|Chania, Greece|35.5138298|24.0180367
154|1954-0073-GRC|Chalcis 341 00, Greece|38.4686919|23.6228734
155|1954-0073-GRC|Thessaloniki, Greece|40.6400629|22.9444191
156|1954-0073-GRC|Ioannina, Greece|39.66502880000001|20.8537466
157|1954-0073-GRC|Rhodes, Greece|36.4349631|28.2174829
158|1954-0073-GRC|Heraklion, Greece|35.3387352|25.1442126
159|1954-0073-GRC|Patras, Greece|38.2466395|21.734574
160|1954-0073-GRC|Volos, Greece|39.366584|22.9506769
161|1954-0073-GRC|Athens, Greece|37.9838096|23.7275388
162|1955-0056-GRC|Drakia 373 00, Greece|39.3761194|23.0481697
163|1956-0006-SUN|Kamchatka Krai, Russia|61.43439809999999|166.7884131
164|1956-0006-SUN|Kamchatka Peninsula, Kamchatka Krai, Russia, 684405|56.1327377|159.5314398
165|1956-0028-BEL|Verviers, Belgium|50.5911266|5.8666876
166|1956-0037-GRC|Santorini, Greece|36.3931562|25.4615092
167|1956-0037-GRC|Crete, Greece|35.240117|24.8092691
168|1956-0037-GRC|Amorgos 840 08, Greece|36.8400184|25.8876641
169|1956-0037-GRC|Folegandros, Greece|36.6171452|24.916088
170|1956-0056-ESP|Granada, Spain|37.1774605|-3.5984368
171|1958-0039-FRA|Hérault, France|43.69730209661017|3.581530857763635
172|1960-0059-ITA|22017 Loveno Sopra Menaggio CO, Italy|46.0262126|9.2339082
173|1960-0059-ITA|25050 Loveno, Province of Brescia, Italy|46.0645552|10.2491337
174|1961-0002-SUN|Kyiv, Ukraine, 02000|50.4501|30.5234
175|1961-0053-GRC|Agrinio, Greece|38.6244897|21.4096034
176|1961-0053-GRC|Chania, Greece|35.5138298|24.0180367
177|1961-0053-GRC|Rhodes, Greece|36.4349631|28.2174829
178|1961-0053-GRC|Thessaloniki, Greece|40.6400629|22.9444191
179|1961-0053-GRC|Ioannina, Greece|39.66502880000001|20.8537466
180|1961-0053-GRC|Heraklion, Greece|35.3387352|25.1442126
181|1961-0053-GRC|Patras, Greece|38.2466395|21.734574
182|1961-0053-GRC|Volos, Greece|39.366584|22.9506769
183|1961-0053-GRC|Athens, Greece|37.9838096|23.7275388
184|1961-0058-FRA|Clamart, France|48.799815|2.257289
185|1962-0003-DFR|Hamburg, Germany|53.5488282|9.987170299999999
186|1962-0008-ESP|Barcelona, Spain|41.3873974|2.168568
187|1962-0044-ALB|Vlorë, Albania|40.4660668|19.491356
188|1962-0044-ALB|Fier, Albania|40.727504|19.5627596
189|1962-0045-ITA|Province of Avellino, Italy|40.996451|15.1258955
190|1963-0016-YUG|Skopje, North Macedonia|41.9981294|21.4254355
191|1963-0032-ITA|33080 Erto e Casso, Metropolitan City of Venice, Italy|46.2672765|12.3292696
192|1964-0016-AZO|São Jorge, Portugal|38.6409678|-28.0303189
193|1964-0061-YUG|Slovenia|46.151241|14.995463
194|1964-0061-YUG|Croatia|45.1|15.2
195|1965-0015-GRC|Patras, Greece|38.2466395|21.734574
196|1965-0015-GRC|Corinth 201 00, Greece|37.9386365|22.9322383
197|1965-0015-GRC|Skopelos, 370 03, Greece|39.1251493|23.6799766
198|1965-0015-GRC|Alonnisos, 370 05, Greece|39.1968615|23.8941657
199|1965-0027-YUG|Republika Srpska, Bosnia and Herzegovina|44.7280186|17.3148136
200|1965-0041-ITA|Italy|41.87194|12.56738
201|1965-0051-CHE|3906 Saas-Fee, Switzerland|46.1091073|7.9297122
202|1965-0052-ITA|Rome, Metropolitan City of Rome Capital, Italy|41.9027835|12.4963655
203|1965-0052-ITA|Sicily, Italy|37.5999938|14.0153557
204|1965-0070-BGR|Rila, 2011, Bulgaria|42.133322|23.5499485
205|1965-0108-GRC|Greece|39.074208|21.824312
206|1966-0026-GRC|Evrytania, Greece|39.0032334|21.7137694
207|1966-0042-SUN|Tashkent, Uzbekistan|41.2994958|69.2400734
208|1966-0068-GRC|Central Greece, Greece|38.6043984|22.7152131
209|1966-0083-GBR|Aberfan, Merthyr Tydfil CF48, UK|51.694515|-3.345293
210|1966-0086-ITA|Florence, Metropolitan City of Florence, Italy|43.7695604|11.2558136
211|1966-0086-ITA|Venice, Metropolitan City of Venice, Italy|45.4408474|12.3155151
212|1966-0140-PRT|2710 Sintra, Portugal|38.8028687|-9.3816589
213|1967-0032-GRC|Greece|39.074208|21.824312
214|1967-0041-FRA|France|46.227638|2.213749
215|1967-0073-PRT|Lisbon, Portugal|38.7222524|-9.1393366
216|1967-0074-YUG|Debar, North Macedonia|41.51975729999999|20.5289
217|1967-0075-ALB|Shupenzë, Albania|41.5327252|20.4232296
218|1967-0108-BEL|Ypres, Belgium|50.8492265|2.8779388
219|1967-0108-BEL|Oostmalle, 2390 Malle, Belgium|51.301137|4.7337542
220|1967-0131-FRA|Sunhar, 64470 Lichans-Sunhar, France|43.095318|-0.8833019999999999
221|1967-0131-FRA|Rte d'Arette, 64570 Aramits, France|43.114358|-0.7279341
222|1967-0131-FRA|Rte de Lanne, 64570 Arette, France|43.1007855|-0.7252915
223|1968-0022-GBR|Scotland, UK|56.49067119999999|-4.2026458
224|1968-0023-ITA|Western Sicily, Italy|37.7521963|13.2680661
225|1968-0023-ITA|Belize|17.189877|-88.49765
226|1968-0027-CHE|Switzerland|46.818188|8.227511999999999
227|1968-0032-GRC|Agios Efstratios, Ag. Efstratios 815 00, Greece|39.5328915|25.0121584
228|1968-0056-DFR|Pforzheim, Germany|48.8921862|8.6946286
229|1968-0056-DFR|Constituency of Pforzheim, Germany|48.9105802|8.7636222
230|1968-0081-ITA|28100 Novara, Province of Novara, Italy|45.44692999999999|8.622161199999999
231|1968-0081-ITA|Via Asti, 13900 Biella BI, Italy|45.5592045|8.0601853
232|1968-0082-YUG|Montenegro|42.708678|19.37439
233|1969-0074-FRA|Brittany, France|48.2020471|-2.9326435
234|1969-0074-FRA|Normandy, France|48.87987039999999|0.1712529
235|1969-0107-YUG|Bosnia and Herzegovina|43.915886|17.679076
236|1969-0155-PRT|Lisbon, Portugal|38.7222524|-9.1393366
237|1970-0016-FRA|73150 Val-d'Isère, France|45.448034|6.980226
238|1970-0018-CHE|Reckingen, 3998 Goms, Switzerland|46.469714|8.242498
239|1970-0018-CHE|Reckingen-Gluringen, 3998 Goms, Switzerland|46.4695173|8.2451355
240|1970-0027-FRA|Praz Coûtant, 74480 Passy, France|45.947373|6.720587
241|1970-0027-FRA|Saint-Gervais-les-Bains, France|45.892013|6.712187
242|1970-0027-FRA|Plateau d'Assy, 74480 Passy, France|45.941578|6.711397
243|1970-0028-HUN|Tisa|46.78301994976988|22.11008971704429
244|1970-0029-ROU|Romania|45.943161|24.96676
245|1970-0047-ITA|Venice, Metropolitan City of Venice, Italy|45.4408474|12.3155151
246|1970-0055-ITA|Metropolitan City of Genoa, Italy|44.4056493|8.9462564
247|1971-0014-ITA|Tuscany, Italy|43.7710513|11.2486208
248|1971-0046-ESP|León, Spain|42.5987041|-5.5670839
249|1971-0119-BEL|4690 Bassenge, Belgium|50.7589815|5.610030699999999
250|1972-0025-YUG|Čačak, Serbia|43.8913677|20.3506051
