DisasterAssociateId|DisasterNo|AssociateTypeId
228|1998-0193-ROU|13
229|1999-0203-HUN|13
230|1999-0450-FRA|13
231|1999-0571-FRA|13
232|2000-0480-RUS|13
233|2001-0040-PRT|13
234|2001-0642-GRC|13
235|2002-0343-ITA|13
236|2002-0376-RUS|13
237|2002-0690-ITA|13
238|2002-0740-ITA|13
239|2002-0743-CHE|13
240|2002-0879-ESP|13
241|2003-0001-PRT|13
242|2003-0033-MKD|13
243|2003-0043-ITA|13
244|2003-0097-GRC|13
245|2003-0184-ITA|13
246|2003-0400-GRC|13
247|2003-0433-ITA|13
248|2003-0497-RUS|13
249|2003-0586-FRA|13
250|2004-0163-BIH|13
251|2004-0257-ROU|13
252|2004-0336-ROU|13
253|2004-0365-ROU|13
254|2004-0369-SVK|13
255|2004-0568-ITA|13
256|2004-0670-SVN|13
257|2005-0131-ROU|13
258|2005-0214-ROU|13
259|2005-0276-RUS|13
260|2005-0338-BGR|13
261|2005-0512-BEL|13
262|2005-0516-FRA|13
263|2005-0727-BGR|13
264|2006-0156-SCG|13
265|2006-0312-ROU|13
266|2006-0460-MKD|13
267|2006-0541-GRC|13
268|2006-0560-GRC|13
269|2006-0568-GRC|13
270|2006-0617-PRT|13
271|2007-0068-ROU|13
272|2007-0334-RUS|13
273|2007-0458-SVN|13
274|2008-0074-PRT|13
275|2008-0216-ITA|13
276|2008-0226-GRC|13
277|2008-0237-FRA|13
278|2008-0420-ITA|13
279|2009-0014-FRA|13
280|2009-0014-ITA|13
281|2009-0136-ITA|13
282|2009-0228-AUT|13
283|2009-0428-ITA|13
284|2009-0530-SRB|13
285|2010-0068-PRT|13
286|2010-0193-CZE|13
287|2010-0233-FRA|13
288|2010-0601-BEL|13
289|2010-0619-BIH|13
290|2010-0692-ITA|13
291|2011-0416-ITA|13
292|2013-0155-PRT|13
293|2013-0205-AUT|13
294|2013-0205-CZE|13
295|2014-0026-ITA|13
296|2014-0045-ITA|13
297|2014-0128-SRB|13
298|2014-0164-BIH|13
299|2014-0164-SRB|13
300|2014-0329-SRB|13
301|2014-0359-SVN|13
302|2014-0388-FRA|13
303|2014-0448-ITA|13
304|2014-0458-ITA|13
305|2015-0023-ALB|13
306|2015-0318-MKD|13
307|2015-0465-ITA|13
308|2016-0227-RUS|13
309|2016-0282-MKD|13
310|2017-0182-GRC|13
311|2017-0328-AUT|13
312|2017-0408-ITA|13
313|2017-0444-GRC|13
314|2017-0504-ALB|13
315|2018-0002-FRA|13
316|2018-0082-ALB|13
317|2018-0087-HRV|13
318|2018-0165-ROU|13
319|2018-0397-ITA|13
320|2019-0015-ESP|13
321|2019-0287-BIH|13
322|2019-0497-ESP|13
323|2019-0533-FRA|13
324|2019-0533-ITA|13
325|2019-0543-ITA|13
326|2019-0558-ITA|13
327|2019-0576-FRA|13
328|2020-0285-BIH|13
329|2020-0285-SRB|13
330|2020-0418-CHE|13
331|2020-0418-ITA|13
332|2020-0521-ITA|13
333|2021-0411-AUT|13
334|2021-0411-DEU|13
335|2021-0411-FRA|13
336|2021-0411-LUX|13
337|2021-0436-FRA|13
338|2021-0725-BIH|13
339|2021-0766-ESP|13
340|2021-0792-FRA|13
341|2022-0825-BIH|13
342|2023-0270-ITA|13
343|2023-0293-ITA|13
344|2023-0408-SRB|13
345|2009-0228-ROU|14
346|2010-0380-LTU|14
347|2014-0488-FRA|14
348|2016-0179-FRA|14
349|2016-0179-POL|14
350|2016-0295-RUS|14
351|2018-0246-SRB|14
352|2019-0396-POL|14
353|2021-0318-FRA|14
354|2021-0351-CZE|14
355|2021-0436-BEL|14
356|2021-0561-ESP|14
357|2021-0586-FRA|14
358|2022-0373-FRA|14
359|2022-0525-AUT|14
360|2022-0525-FRA|14
361|2022-0525-ITA|14
362|2022-0697-FRA|14
363|2023-0466-ITA|14
364|2023-0466-ROU|14
365|1991-0296-AUT|15
366|1991-0296-DFR|15
367|1991-0307-SUN|15
368|2002-0467-DEU|15
369|2003-0388-RUS|15
370|2003-0395-FRA|15
371|2004-0026-GRC|15
372|2004-0257-ROU|15
373|2004-0427-FRA|15
374|2004-0444-ROU|15
375|2005-0011-EST|15
376|2005-0011-RUS|15
377|2005-0265-BGR|15
378|2005-0337-ROU|15
379|2005-0695-BIH|15
380|2006-0156-ROU|15
381|2006-0320-ROU|15
382|2006-0454-HUN|15
383|2006-0541-GRC|15
384|2007-0278-GBR|15
385|2007-0340-ROU|15
386|2007-0393-ROU|15
387|2007-0396-UKR|15
388|2008-0007-BGR|15
389|2008-0306-MDA|15
390|2008-0306-UKR|15
391|2008-0381-GBR|15
392|2008-0579-ITA|15
393|2010-0068-PRT|15
394|2010-0647-ESP|15
395|2013-0530-ESP|15
396|2013-0530-FRA|15
397|2013-0530-GBR|15
398|2005-0655-BEL|16
399|2005-0655-DEU|16
400|2005-0655-FRA|16
401|2005-0713-AUT|16
402|2005-0713-BEL|16
403|2005-0713-BLR|16
404|2005-0713-ESP|16
405|2005-0713-FRA|16
406|2005-0713-GBR|16
407|2005-0713-HRV|16
408|2005-0713-HUN|16
409|2005-0713-ITA|16
410|2005-0713-MDA|16
411|2005-0713-NLD|16
412|2005-0713-POL|16
413|2005-0713-RUS|16
414|2005-0713-UKR|16
415|2008-0007-BGR|16
416|2015-0081-ITA|16
417|2017-0010-ALB|16
418|2017-0010-BLR|16
419|2017-0010-GRC|16
420|2017-0010-MKD|16
421|2017-0010-SRB|16
422|2017-0010-UKR|16
423|2020-0533-ITA|16
424|2021-0077-CHE|16
425|2021-0766-ESP|16
426|2009-0271-ESP|17
427|2014-0210-BGR|17
428|2014-0419-GRC|17
429|2015-0318-MKD|17
430|2016-0227-RUS|17
431|2016-0282-MKD|17
432|2016-0427-UKR|17
433|2018-0407-RUS|17
434|2019-0222-ROU|17
435|2019-0301-ESP|17
436|2019-0413-ESP|17
437|2020-0533-ITA|17
438|2021-0397-RUS|17
439|2021-0411-ITA|17
440|2021-0411-POL|17
441|2023-0242-UKR|17
442|2018-0002-ESP|18
443|2018-0002-GBR|18
444|2019-0558-ITA|18
445|2022-0081-DNK|18
446|1908-0007-ITA|19
447|1914-0030-GRC|19
448|1932-0020-GRC|19
449|1947-0028-GRC|19
450|1948-0032-GRC|19
451|1953-0001-GRC|19
452|1955-0056-GRC|19
453|1956-0037-GRC|19
454|1968-0032-GRC|19
455|1969-0155-PRT|19
456|1979-0039-YUG|19
457|1994-0342-RUS|19
458|2007-0334-RUS|19
459|2013-0517-DEU|19
460|2017-0280-GRC|19
461|1941-0036-ESP|20
462|1941-0036-PRT|20
463|2004-0459-RUS|20
464|2005-0011-DNK|20
465|2005-0011-GBR|20
466|2011-0518-CHE|20
467|2011-0518-FRA|20
468|2018-0002-CHE|20
469|2018-0025-DEU|20
470|2022-0417-PRT|20
471|1956-0037-GRC|21
472|2003-9777-RUS|22
473|1982-9303-FRA|23
474|1991-9316-FRA|23
475|2003-0391-AUT|23
476|2003-0391-SVN|23
477|2007-0235-BGR|23
478|2007-0235-GRC|23
479|2007-0235-ITA|23
480|2007-0235-MKD|23
481|2007-0235-SRB|23
482|2010-9318-RUS|23
483|2018-0002-FRA|23
484|2023-9234-ESP|23
